name,code,level,es,ms,hs,configuration,type,ward,lat,lon,modernization,mod_status,facilitiesconditionindex_2008,facilitiesconditionindex_2013,fortyforty,sy15_estenroll_total,sy15_estenroll_ps,sy15_estenroll_pk,sy15_estenroll_kg,sy15_estenroll_01,sy15_estenroll_02,sy15_estenroll_03,sy15_estenroll_04,sy15_estenroll_05,sy15_estenroll_06,sy15_estenroll_07,sy15_estenroll_08,sy15_estenroll_09,sy15_estenroll_10,sy15_estenroll_11,sy15_estenroll_12,sy15_estenroll_ao,sy15_estenroll_retained,sy15_estenroll_ell,sy15_estenroll_farm,sy15_estenroll_homelessfoster,sy15_estenroll_sped,sy15_estenroll_atrisk
Deal MS,405,ms,FALSE,TRUE,FALSE,Middle School,Regular,3,38.95289674,-77.07519907,Full,complete,Good,TBD,FALSE,1310,0,0,0,0,0,0,0,0,450,419,441,0,0,0,0,0,30,47,0,0,131,111
Drew ES,231,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.89599397,-76.91992701,Phase,inProgress,Unsatisfactory,TBD,TRUE,169,22,29,22,27,18,19,19,13,0,0,0,0,0,0,0,0,34,0,155,21,23,130
Dunbar HS,467,hs,FALSE,FALSE,TRUE,High School,Regular,5,38.90762655,-77.01269148,Future Full,complete,Unsatisfactory,TBD,TRUE,625,0,0,0,0,0,0,0,0,0,0,0,220,142,128,127,8,164,3,430,70,157,411
Eastern HS,457,hs,FALSE,FALSE,TRUE,High School,Vocational Shared Time,6,38.89040266,-76.97968429,Full,complete,Good,TBD,FALSE,1030,0,0,0,0,0,0,0,0,0,0,0,376,228,211,187,28,280,8,510,38,274,609
Eaton ES,232,es,TRUE,FALSE,FALSE,Elementary School,Regular,3,38.93272707,-77.06582114,None,planned,Unsatisfactory,Fair,FALSE,477,0,36,75,75,75,73,75,68,0,0,0,0,0,0,0,0,11,48,38,0,39,28
Eliot-Hine MS,407,ms,FALSE,TRUE,FALSE,Middle School,Regular,6,38.89243149,-76.97897792,None,planned,Unsatisfactory,Fair,TRUE,275,0,0,0,0,0,0,0,0,90,95,90,0,0,0,0,0,75,1,238,24,59,191
Ellington School of the Arts,471,hs,FALSE,FALSE,TRUE,High School,Magnet,2,38.91344638,-77.07030757,Future Full,complete,Unsatisfactory,TBD,FALSE,515,0,0,0,0,0,0,0,0,0,0,0,112,138,140,125,0,28,8,136,10,25,110
Garfield ES,238,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.85173338,-76.97080478,None,planned,Unsatisfactory,Fair,TRUE,276,21,29,38,45,44,41,37,21,0,0,0,0,0,0,0,0,63,0,240,28,37,213
Garrison ES,239,es,TRUE,FALSE,FALSE,Elementary School,Regular,2,38.91390129,-77.02861256,None,planned,Unsatisfactory,TBD,FALSE,289,39,46,45,44,27,30,39,19,0,0,0,0,0,0,0,0,36,32,165,24,74,155
H.D. Cooke ES,227,es,TRUE,FALSE,FALSE,Elementary School,Regular,1,38.92394309,-77.03881058,Full,complete,Good,TBD,TRUE,413,30,60,58,65,52,51,50,47,0,0,0,0,0,0,0,0,53,180,245,22,37,222
Hardy MS,246,ms,FALSE,TRUE,FALSE,Middle School,Regular,2,38.91550903,-77.0686139,Full,complete,Fair,TBD,FALSE,400,0,0,0,0,0,0,0,0,135,130,135,0,0,0,0,0,26,19,124,16,52,108
Hart MS,413,ms,FALSE,TRUE,FALSE,Middle School,Regular,8,38.83773787,-76.99717875,Phase,inProgress,Unsatisfactory,Good,TRUE,574,0,0,0,0,0,0,0,0,180,201,193,0,0,0,0,0,179,0,468,49,159,438
Hearst ES,258,es,TRUE,FALSE,FALSE,Elementary School,Regular,3,38.94072265,-77.07195522,Phase,inProgress,Unsatisfactory,TBD,FALSE,293,2,41,41,44,41,49,38,37,0,0,0,0,0,0,0,0,11,23,58,1,30,43
Hendley ES,249,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.82898591,-76.99918485,None,planned,Unsatisfactory,Unsatisfactory,FALSE,533,30,40,80,84,76,80,80,63,0,0,0,0,0,0,0,0,162,0,0,0,75,443
Houston ES,251,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.90541532,-76.92994765,None,planned,Unsatisfactory,Unsatisfactory,FALSE,282,24,29,47,46,43,33,24,36,0,0,0,0,0,0,0,0,43,2,230,20,44,191
Hyde-Addison ES,252,es,TRUE,FALSE,FALSE,Elementary School,Regular,2,38.90801957,-77.06453782,Full,complete,Fair,Fair,FALSE,341,0,20,46,49,55,69,66,36,0,0,0,0,0,0,0,0,8,24,32,1,29,22
Incarcerated Youth Program,480,hs,FALSE,FALSE,TRUE,Alternative School,Alternative Education,na,na,na,,,,,FALSE,24,0,0,0,0,0,0,0,0,0,0,0,10,7,3,4,0,12,0,4,1,15,0
